Symbol,Source,Avg Losing Trade [%],Avg Winning Trade [%],Best Trade [%],Calmar Ratio,End Value,Expectancy,Max Drawdown [%],Omega Ratio,Open Trade PnL,Profit Factor,Sharpe Ratio,Sortino Ratio,Total Closed Trades,Total Fees Paid,Total Open Trades,Total Return [%],Total Trades,Win Rate [%],Worst Trade [%]
TRIGYN,File 1 (vectorbt),-14.149184,45.046359,60.527235,0.1931,203155.954488,11461.772721,30.183096,1.242237,,2.054728,0.36779,0.709805,,2419.801156,,103.155954,,44.444444,-17.246621
TRIGYN,File 2 (custom),-14.726277,36.865949,46.611141,-0.050595,59783.035734,-4468.551585,55.316762,0.899833,,0.5995,-0.144223,-0.067328,,772.108673,,-40.216964,,22.222222,-18.43222
INDORAMA,File 1 (vectorbt),-13.615241,33.366667,45.14531,0.049732,149522.713138,4126.892761,55.686061,1.126536,,1.391867,0.233647,0.407965,12.0,2887.716851,,49.522713,12.0,41.666667,-20.048243
INDORAMA,File 2 (custom),-13.253615,28.112723,32.542684,-0.06712,33245.716659,-5134.944872,74.970618,0.884309,,0.351616,-0.211535,-0.108592,13.0,851.103631,,-66.754283,13.0,15.384615,-19.020371
PVP,File 1 (vectorbt),-15.987761,45.526822,45.526822,-0.113393,50898.251223,-7014.53554,59.709927,0.828752,,0.438727,-0.336676,-0.478984,,1160.82842,,-49.101749,,,-20.32916
PVP,File 2 (custom),-14.782236,40.078974,40.078974,-0.079079,52484.226778,-6787.967603,57.09857,0.834525,,0.415314,-0.26847,-0.123127,,549.296828,,-47.515773,,,-19.263152
TATASTEEL,File 1 (vectorbt),-7.347989,26.168464,49.962909,0.059027,145772.500267,1695.277788,31.300439,1.104765,,1.254218,0.199053,0.298496,27.0,6807.945044,,45.7725,27.0,29.62963,-13.263793
TATASTEEL,File 2 (custom),-6.934017,25.929682,45.720261,0.002147,102182.350869,77.941102,33.728723,1.037253,,1.014471,0.065232,0.03103,28.0,2731.06542,,2.182351,28.0,25.0,-12.368345
VARDMNPOLY,File 1 (vectorbt),-14.381857,37.229259,45.940966,-0.052194,54316.075535,-3514.148036,66.805353,0.943358,,0.56792,-0.101154,-0.149231,,1767.074375,,-45.683924,,,-17.119262
VARDMNPOLY,File 2 (custom),-13.170762,34.423005,41.059522,-0.034102,57287.289057,-3285.593149,64.856131,0.943114,,0.576382,-0.083648,-0.035216,,897.39013,,-42.712711,,,-16.94527
CUB,File 1 (vectorbt),-9.855624,28.340449,40.408177,-0.012641,88020.261503,-665.541028,57.219516,1.019506,,0.904437,0.038629,0.051621,,3190.762478,,-11.979738,,27.777778,-20.725037
CUB,File 2 (custom),-8.910279,25.625577,34.560207,-0.032748,63941.174232,-2003.268098,53.168304,0.931338,,0.600154,-0.109553,-0.041672,,1143.790768,,-36.058826,,22.222222,-18.602012
PFOCUS,File 1 (vectorbt),-13.503369,38.4958,48.859642,0.110347,207479.734658,9770.884969,54.202005,1.223269,,1.907,0.393887,0.635867,,2978.984857,,107.479735,,,-25.366621
PFOCUS,File 2 (custom),-13.229188,30.679871,45.303121,0.043301,153874.968857,4897.724442,55.343756,1.166229,,1.529869,0.237853,0.105527,,1296.913102,,53.874969,,,-18.606406
GLOBALVECT,File 1 (vectorbt),-15.336098,32.152196,60.857737,0.120864,199301.551266,11033.505696,49.034967,1.339973,,2.643958,0.453603,0.781827,,2078.215708,,99.301551,,,-16.719626
GLOBALVECT,File 2 (custom),-13.755899,31.310889,57.491327,0.088323,205466.500011,11718.500001,47.983536,1.367668,,2.878655,0.385748,0.157472,,1133.502043,,105.4665,,,-16.016671
PGIL,File 1 (vectorbt),-11.01864,34.586286,39.198062,0.162964,187918.457587,11870.867226,32.526929,1.352991,16693.254233,2.840687,0.441865,0.793231,,1610.023793,1.0,87.918458,7.0,,-14.727716
PGIL,File 2 (custom),-10.56774,32.883957,38.975398,0.093379,179744.567355,10870.959261,36.090994,1.291456,0.0,2.758571,0.334885,0.153436,,735.674164,0.0,79.744567,6.0,,-13.813776
SCI,File 1 (vectorbt),-10.757942,29.306199,40.55958,0.157207,276216.267937,10365.66282,37.537074,1.199516,,1.845889,0.424561,0.725024,17.0,6714.013014,,176.216268,17.0,47.058824,-14.379709
SCI,File 2 (custom),-10.474848,25.857916,36.903591,0.036652,141433.12041,2301.840023,37.099816,1.099468,,1.318067,0.169416,0.094301,18.0,1927.22698,,41.43312,18.0,38.888889,-13.685862
FEDERALBNK,File 1 (vectorbt),-9.422471,26.365833,49.887135,0.057055,182809.182396,3067.006755,54.60752,1.105534,,1.418375,0.262345,0.386957,27.0,7225.450345,,82.809182,27.0,37.037037,-22.908493
FEDERALBNK,File 2 (custom),-8.610348,26.14272,47.327989,0.054699,221110.480559,4658.095406,51.651984,1.121741,,1.613672,0.261772,0.160975,26.0,3970.76692,,121.110481,26.0,38.461538,-17.437465
EMAMILTD,File 1 (vectorbt),-8.73536,21.524054,31.111528,0.092847,155347.631182,3255.743011,38.361691,1.131006,,1.605794,0.304535,0.487956,17.0,3530.647766,,55.347631,17.0,41.176471,-12.916358
EMAMILTD,File 2 (custom),-8.841489,21.234959,29.956415,0.076535,160451.746041,3778.234128,34.331267,1.140628,,1.692069,0.276971,0.165131,16.0,1751.77334,,60.451746,16.0,43.75,-12.475632
