symbol,status,load_time_s,indicator_calc_time_s,signal_gen_time_s,portfolio_sim_time_s,total_symbol_time_s,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
ADSL,Success,0.008268900000075519,0.0002173000002585468,0.00047539999923174037,3.670000023703324e-05,0.01094109999939974,2007-07-25 09:15:00,2025-06-26 09:15:00,6546 days 00:00:00,100000.0,59109.483731,-40.890516,12.233837,100.0,590.694423,75.535611,6236 days 00:00:00,10,10,0,0.0,20.0,58.73027,-24.214536,48.033447,-14.751501,72 days 00:00:00,53 days 21:00:00,0.493157,-4089.051627,-0.101406,-0.039027,0.940521,-0.053467
ADVANIHOTR,Success,0.007890599999882397,0.0002447000006213784,0.0005959999998594867,7.45999996070168e-05,0.010587900000246009,2007-06-25 09:15:00,2025-06-26 09:15:00,6576 days 00:00:00,100000.0,105219.796613,5.219797,149.326795,100.0,845.407094,31.448754,3879 days 00:00:00,7,7,0,0.0,28.571429,36.924918,-15.487934,33.506788,-9.651815,235 days 12:00:00,46 days 14:24:00,1.086893,745.68523,0.086163,0.010523,1.062994,0.045581
ADVENZYMES,Success,0.004797999999937019,0.0002029999996011611,0.0004665000005843467,3.5799999750452116e-05,0.007083599999532453,2016-08-01 09:15:00,2025-06-26 09:15:00,3251 days 00:00:00,100000.0,83053.91578,-16.946084,37.742976,100.0,521.833848,27.859092,1630 days 00:00:00,6,6,0,0.0,16.666667,27.765596,-10.177648,27.765596,-8.027382,125 days 00:00:00,31 days 00:00:00,0.556836,-2824.34737,-0.159676,-0.075369,0.907748,-0.081179
AEGISLOG,Success,0.009626199999729579,0.0002817999993567355,0.0005291999996188679,4.4100000195612665e-05,0.012576000000080967,1999-01-01 09:15:00,2025-06-26 09:15:00,9673 days 00:00:00,100000.0,320125.411285,220.125411,138157.956449,100.0,4797.454363,60.484982,6335 days 00:00:00,17,17,0,0.0,41.176471,81.156005,-29.017553,45.852414,-12.463063,57 days 03:25:42,42 days 02:24:00,1.569958,12948.553605,0.334017,0.079843,1.237705,0.183622
AEROFLEX,Success,0.00242549999984476,0.00014699999974254752,0.00039509999987785704,2.840000070136739e-05,0.0038918000000194297,2023-08-31 09:15:00,2025-06-26 09:15:00,665 days 00:00:00,100000.0,100000.0,0.0,25.304747,100.0,0.0,0.0,,0,0,0,0.0,,,,,,,,,,,,,
AETHER,Success,0.002666499999577354,0.00015639999946870375,0.0004394999996293336,2.790000053209951e-05,0.004223600000841543,2022-06-03 09:15:00,2025-06-26 09:15:00,1119 days 00:00:00,100000.0,100000.0,0.0,-0.639207,100.0,0.0,0.0,,0,0,0,0.0,,,,,,,,,,,,,
AFCONS,Success,0.0018534000000727247,0.0001768000001902692,0.00045559999944089213,2.499999936844688e-05,0.0033815999995567836,2024-11-04 09:15:00,2025-06-26 09:15:00,234 days 00:00:00,100000.0,100000.0,0.0,-7.507381,100.0,0.0,0.0,,0,0,0,0.0,,,,,,,,,,,,,
AFFLE,Success,0.003030800000487943,0.00015810000058991136,0.0004349999999249121,3.079999987676274e-05,0.005171100000552542,2019-08-08 09:15:00,2025-06-26 09:15:00,2149 days 00:00:00,100000.0,141931.401425,41.931401,1019.784785,100.0,1149.225733,32.331491,1484 days 00:00:00,7,7,0,0.0,42.857143,32.485301,-11.534879,27.056637,-8.413971,37 days 16:00:00,36 days 00:00:00,1.683372,5990.200204,0.483082,0.192979,1.267274,0.349612
AFFORDABLE,Success,0.0017436999996789382,0.0001339999998890562,0.00042050000047311187,2.2600000193051528e-05,0.003532200000336161,2024-10-23 09:15:00,2025-06-26 09:15:00,246 days 00:00:00,100000.0,100000.0,0.0,-38.402626,100.0,0.0,0.0,,0,0,0,0.0,,,,,,,,,,,,,
AFIL,Success,0.0020295000003898167,0.00014960000044084154,0.00042070000017702114,2.949999998236308e-05,0.003516900000249734,2024-06-26 09:15:00,2025-06-26 09:15:00,365 days 00:00:00,100000.0,100000.0,0.0,-43.832025,100.0,0.0,0.0,,0,0,0,0.0,,,,,,,,,,,,,
