Symbol,Source,Avg Losing Trade [%],Avg Winning Trade [%],Benchmark Return [%],Best Trade [%],Calmar Ratio,End Value,Expectancy,Max Drawdown [%],Max Gross Exposure [%],Omega Ratio,Open Trade PnL,Profit Factor,Sharpe Ratio,Sortino Ratio,Start Value,Total Closed Trades,Total Fees Paid,Total Open Trades,Total Return [%],Total Trades,Win Rate [%],Worst Trade [%]
BAJAJHIND,File 1 (vectorbt),-12.774026,28.060374,,34.971831,-0.090202,22656.263326,-3515.624394,84.887053,,0.880981,,0.395327,-0.294266,-0.421967,,,2231.144147,,-77.343737,,,-22.972602
BAJAJHIND,File 2 (custom),-12.373462,28.132142,,35.036695,-0.06127,23574.134084,-3473.902996,85.065823,,0.884542,,0.408742,-0.236525,-0.127568,,,1132.542198,,-76.425866,,,-22.621734
BAJAJHLDNG,File 1 (vectorbt),-7.3888,25.143705,,45.438343,0.245909,294602.559526,14969.427656,39.385251,,1.389311,,3.682387,0.705277,1.093474,,,4391.428951,,194.60256,,,-14.318885
BAJAJHLDNG,File 2 (custom),-5.904719,25.218386,,45.49275,0.208235,316045.943072,16618.918698,33.778379,,1.420163,,4.53899,0.647483,0.347744,,,2380.473592,,216.045943,,,-8.070522
BAJAJINDEF,File 1 (vectorbt),,0.0,,,,,,,0.0,inf,,,inf,inf,,,,,,,,
BAJAJINDEF,File 2 (custom),,,,,,,,0.0,100.0,,,,,,,,,,,,,
BAJAJ_AUTO,File 1 (vectorbt),-5.042897,16.756205,,19.212072,0.106441,129208.337578,2655.303416,21.045424,,1.117563,,1.746158,0.281806,0.407974,,,2389.57848,,29.208338,,,-6.83088
BAJAJ_AUTO,File 2 (custom),-4.925366,16.802084,,19.29268,0.068479,127489.450064,2499.040915,21.322523,,1.113526,,1.70454,0.226475,0.118712,,,1187.304516,,27.48945,,,-6.724256
BAJEL,File 1 (vectorbt),-10.703002,44.50844,,44.50844,1.614507,129017.440694,14508.720347,17.275801,,1.467521,,2.878573,1.093798,2.276629,,,517.974928,,29.017441,,,-10.703002
BAJEL,File 2 (custom),-10.592509,40.159105,,40.159105,0.917559,124799.248512,12399.624256,17.345418,,1.410215,,2.646543,0.822169,0.970427,,,264.848904,,24.799249,,,-10.592509
BAJFINANCE,File 1 (vectorbt),-9.241648,21.681494,,37.848466,0.024005,130073.231825,1113.823401,53.63982,,1.092055,,1.132698,0.162064,0.226205,,,7369.083335,,30.073232,,,-23.856966
BAJFINANCE,File 2 (custom),-8.222415,21.233502,,32.719037,0.02392,145951.543073,1701.909003,53.443778,,1.113799,,1.204886,0.16907,0.066749,,,4070.354383,,45.951543,,,-23.733333
BALAJEE,File 1 (vectorbt),,0.0,,,,,,,0.0,inf,,,inf,inf,,,,,,,,
BALAJEE,File 2 (custom),,,,,,,,0.0,100.0,,,,,,,,,,,,,
BALAJITELE,File 1 (vectorbt),-12.436797,36.53393,,49.832632,0.200195,342331.309036,17309.379217,38.358751,,1.326168,,1.913698,0.568947,0.990847,,,7172.094744,,242.331309,,,-18.281818
BALAJITELE,File 2 (custom),-11.392081,36.597233,,49.882649,0.144764,364051.348927,18860.810638,38.061185,,1.34462,,2.002086,0.498088,0.294054,,,3895.961397,,264.051349,,,-14.309621
BALAMINES,File 1 (vectorbt),-14.220964,41.795466,,55.450269,-0.003011,98287.250974,-131.749925,46.808031,,1.046946,,0.986677,0.101359,0.165094,,,2476.034263,,-1.712749,,,-26.909423
BALAMINES,File 2 (custom),-13.787859,41.853513,,55.494675,0.000859,100688.284815,52.944986,45.003162,,1.051086,,1.005322,0.091394,0.056361,,,1268.171499,,0.688285,,,-26.78274
BALAXI,File 1 (vectorbt),-14.816748,41.372917,,44.353871,-0.108694,64500.770096,-3944.358878,76.525337,,0.84719,,0.620968,-0.352703,-0.497229,,,1450.483901,,-35.49923,,,-23.027732
BALAXI,File 2 (custom),-14.376726,38.409112,,44.409362,-0.080907,62865.891229,-4126.012086,76.006915,,0.833249,,0.580471,-0.320781,-0.157434,,,688.246546,,-37.134109,,,-22.904927
BALKRISHNA,File 1 (vectorbt),-13.564508,,,-13.251812,-0.169748,74733.393598,-12633.303201,25.266606,,0.351781,,,-0.650125,-0.710296,,,346.981791,,-25.266606,,,-13.877205
BALKRISHNA,File 2 (custom),-13.451157,,,-13.138773,-0.118071,74611.42873,-12694.285635,25.388571,,0.350471,,,-0.541757,-0.071843,,,160.803711,,-25.388571,,,-13.763541
BALKRISIND,File 1 (vectorbt),-8.952144,24.383287,,45.216673,-0.006807,96662.983819,-166.850809,38.008009,,1.027576,,0.974336,0.067461,0.0956,,,3950.280373,,-3.337016,,,-18.205875
BALKRISIND,File 2 (custom),-8.599447,24.213515,,45.271302,-0.003872,97241.24102,-137.937949,38.043436,,1.028269,,0.978369,0.057554,0.029786,,,1973.551417,,-2.758759,,,-16.328265
BALMLAWRIE,File 1 (vectorbt),-8.85423,29.508495,,34.942452,-0.078739,42264.140393,-3443.430598,60.338713,,0.788613,802.460553,0.381042,-0.405969,-0.567694,,,2242.697731,,-57.73586,,,-14.172035
BALMLAWRIE,File 2 (custom),-8.408825,29.578816,,35.007345,-0.053683,44035.384921,-3341.05803,58.673889,,0.796748,833.371427,0.396524,-0.325455,-0.131559,,,1112.578241,,-55.964615,,,-13.596802
BALPHARMA,File 1 (vectorbt),-13.277927,32.439535,,52.008944,0.164216,224781.025552,10398.418796,41.207725,,1.238305,,1.939491,0.403644,0.756656,,,3813.293715,,124.781026,,,-16.420606
BALPHARMA,File 2 (custom),-13.164862,32.384252,,52.056787,0.109212,220645.781232,10053.815103,41.351187,,1.233971,,1.914106,0.32995,0.205908,,,1943.890505,,120.645781,,,-16.304402
BALRAMCHIN,File 1 (vectorbt),-9.280974,32.903687,,45.738695,0.011745,114978.019553,832.112197,66.56154,,1.068812,,1.098843,0.12501,0.186928,,,4096.691369,,14.97802,,,-14.379231
BALRAMCHIN,File 2 (custom),-9.171902,32.970617,,45.792802,0.007066,113012.587808,722.921545,66.8426,,1.064863,,1.085782,0.098111,0.041837,,,2039.709906,,13.012588,,,-14.265066
BALUFORGE,File 1 (vectorbt),-14.277162,,,-14.277162,-0.728887,85737.101104,-14262.898896,24.157435,,0.801261,,,-0.658831,-0.895878,,,185.723024,,-14.262899,,,-14.277162
BALUFORGE,File 2 (custom),-14.163099,,,-14.163099,-0.51928,85689.85962,-14310.14038,24.184295,,0.800313,,,-0.551776,-0.353314,,,85.604824,,-14.31014,,,-14.163099
BANARBEADS,File 1 (vectorbt),-13.722462,51.220343,,51.220343,-0.084357,71918.522567,-4680.246239,44.246071,,0.874474,,0.604144,-0.193211,-0.300339,,,1151.044366,,-28.081477,,,-16.374852
BANARBEADS,File 2 (custom),-13.412989,51.268974,,51.268974,-0.058135,72350.378851,-4608.270192,43.787506,,0.876928,,0.606635,-0.157118,-0.060931,,,560.885529,,-27.649621,,,-16.258693
BANARISUG,File 1 (vectorbt),-9.582563,32.731325,,39.532027,-0.024422,80994.062611,-1005.418687,49.663712,,0.99248,-1913.819703,0.831453,-0.013051,-0.019976,,,2691.015179,,-19.005937,,,-17.338859
BANARISUG,File 2 (custom),-8.889929,32.798426,,39.592335,-0.011222,87814.51476,-597.367427,46.162336,,1.010105,-2030.238976,0.898638,0.014428,0.006216,,,1374.309636,,-12.185485,,,-13.06828
BANCOINDIA,File 1 (vectorbt),-11.778773,32.547407,,50.322371,0.300372,397078.477214,16504.359845,38.851654,,1.30994,,3.019216,0.625407,1.158988,,,5645.699701,,297.078477,,,-24.212882
BANCOINDIA,File 2 (custom),-11.667206,32.5723,,50.371899,0.19809,388300.159397,16016.675522,39.301568,,1.305306,,2.959672,0.512935,0.372668,,,2937.75127,,288.300159,,,-24.088893
BANDHANBNK,File 1 (vectorbt),-9.61325,,,-8.352998,-0.246027,60336.247803,-7932.750439,39.663752,,0.558533,,,-0.878088,-1.013146,,,778.986159,,-39.663752,,,-11.728468
BANDHANBNK,File 2 (custom),-9.503846,,,-8.244853,-0.172733,60163.919684,-7967.216063,39.83608,,0.556399,,,-0.734237,-0.204973,,,368.228071,,-39.83608,,,-11.616951
BANG,File 1 (vectorbt),-15.660122,49.540201,,49.540201,-0.076084,63711.09717,-6048.150472,53.907907,,0.893677,,0.449571,-0.152217,-0.211937,,,910.77316,,-36.288903,,,-18.70739
BANG,File 2 (custom),-13.891166,49.590511,,49.590511,-0.045968,69865.421083,-5022.42982,49.464194,,0.918487,,0.517672,-0.098957,-0.032773,,,477.628806,,-30.134579,,,-18.301582
BANKA,File 1 (vectorbt),-7.900478,,,-7.900478,-0.324669,92107.414917,-7892.585083,7.892585,,,,,-1.157518,-1.155898,,,192.099714,,-7.892585,,,-7.900478
BANKA,File 2 (custom),-7.242365,,,-7.242365,-0.224617,92573.755857,-7426.244143,7.426244,,,,,-0.961298,-0.126972,,,92.646864,,-7.426244,,,-7.242365
BANKBARODA,File 1 (vectorbt),-8.889384,30.209283,,49.828434,0.081154,205957.305049,3529.563538,50.678399,,1.139883,10659.089531,1.370296,0.312951,0.46404,,,8656.112764,,105.957305,,,-17.55019
BANKBARODA,File 2 (custom),-8.667956,29.989971,,49.878455,0.054591,200786.229801,3348.374578,49.844759,,1.13593,10380.116193,1.361042,0.254534,0.130734,,,4196.003629,,100.78623,,,-17.432858
BANKINDIA,File 1 (vectorbt),-10.836497,30.53271,,46.047444,-0.086781,31318.541679,-3440.331051,72.263695,,0.861806,125.162697,0.488553,-0.309976,-0.424218,,,2888.38738,,-68.681458,,,-15.360151
BANKINDIA,File 2 (custom),-10.659256,30.602008,,46.101243,-0.060529,31181.074656,-3447.162471,72.511614,,0.861044,124.324078,0.488008,-0.258948,-0.113853,,,1398.73715,,-68.818925,,,-15.245006
BANKNIFTY,File 1 (vectorbt),-4.528558,11.437448,,23.897346,0.090645,149674.10156,1602.390373,26.000753,,1.124124,,1.435035,0.290358,0.435825,,,8104.198925,,49.674102,,,-10.020323
BANKNIFTY,File 2 (custom),-4.055617,11.112058,,23.973273,0.061479,147172.396609,1521.690213,25.261234,,1.12646,,1.492624,0.243571,0.134291,,,3653.966795,,47.172397,,,-9.910512
BANSALWIRE,File 1 (vectorbt),-9.661243,,,-9.661243,-0.534499,90348.408556,-9651.591444,26.760815,,0.856254,,,-0.564745,-0.735304,,,190.338947,,-9.651591,,,-9.661243
