symbol,status,load_time_s,indicator_calc_time_s,signal_gen_time_s,portfolio_sim_time_s,total_symbol_time_s,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
ASTRAMICRO,Success,0.006242640996788396,0.015600034999806667,0.0007009940018178895,3.266496352000104,3.2891811750014313,2004-11-01 00:00:00,2025-03-06 00:00:00,5031 days 00:00:00,100000.0,60146.355442,-39.853645,2234.194973,100.0,2188.42274,62.535697,3831 days 00:00:00,16,16,0,0.0,25.0,37.285161,-19.949264,26.409761,-11.25506,51 days 00:00:00,25 days 12:00:00,0.609046,-2490.852785,-0.112497,-0.057906,0.947986,-0.178081
INDUSTOWER,Success,0.0026735690007626545,0.007109838999895146,0.00046565199954784475,0.02759620399956475,0.037999209998815786,2012-12-28 00:00:00,2025-03-06 00:00:00,3015 days 00:00:00,100000.0,208303.706264,108.303706,72.423698,100.0,2074.317944,23.497585,825 days 00:00:00,7,7,0,0.0,71.428571,29.330681,-12.983907,21.743133,-11.601669,22 days 04:48:00,61 days 12:00:00,3.865279,15471.958038,0.761462,0.395375,1.469094,1.179451
V2RETAIL,Success,0.002928411999164382,0.007252734998473898,0.0005139759996382054,0.14062667200050782,0.1514536179965944,2012-02-24 00:00:00,2025-03-06 00:00:00,3209 days 00:00:00,100000.0,42613.180396,-57.38682,9770.118343,100.0,667.087416,57.479461,3097 days 00:00:00,5,5,0,0.0,0.0,-10.919008,-23.396531,,-15.540681,,40 days 14:24:00,0.0,-11477.363921,-0.452082,-0.160866,0.775147,-0.637305
MAHLIFE,Success,0.005918127000768436,0.008393981999688549,0.00046431900045718066,0.024990292000438785,0.03990664700177149,2007-11-23 00:00:00,2025-03-06 00:00:00,4270 days 00:00:00,100000.0,134929.054919,34.929055,64.39531,100.0,2208.564284,37.024444,2998 days 00:00:00,9,9,0,0.0,33.333333,52.980857,-19.884214,39.110128,-10.597626,59 days 00:00:00,34 days 20:00:00,1.408379,3881.006102,0.247641,0.070058,1.145028,0.399513
PCBL,Success,0.006365588000335265,0.006413379000150599,0.0004648670001188293,0.02618004500254756,0.03957441600141465,1995-01-06 00:00:00,2025-03-06 00:00:00,6900 days 00:00:00,100000.0,101724.969489,1.724969,4575.757576,100.0,2458.75645,65.329819,6074 days 00:00:00,15,15,0,0.0,33.333333,63.765201,-26.157129,38.403917,-14.532791,39 days 04:48:00,20 days 12:00:00,1.012989,114.997966,0.084539,0.001385,1.055771,0.126472
RAJSREESUG,Success,0.006508547001430998,0.006219222999789054,0.00045024100109003484,0.025422380997042637,0.03876540000055684,1999-01-01 00:00:00,2025-03-06 00:00:00,6370 days 00:00:00,100000.0,24434.740658,-75.565259,431.625,100.0,1930.849876,76.756664,4748 days 00:00:00,16,16,0,0.0,12.5,88.705878,-32.818966,60.095829,-15.039481,142 days 12:00:00,21 days 03:25:42,0.45617,-4722.828709,-0.241136,-0.101061,0.882868,-0.339059
LYKALABS,Success,0.006547813998622587,0.0065291840001009405,0.00048335199971916154,0.025512766998872394,0.03934950300026685,1999-01-01 00:00:00,2025-03-06 00:00:00,6145 days 00:00:00,100000.0,168224.408372,68.224408,445.804878,100.0,5047.304256,65.044217,3176 days 00:00:00,17,17,0,0.0,35.294118,84.05882,-28.908309,53.269174,-16.456936,42 days 16:00:00,28 days 00:00:00,1.249323,4013.200492,0.24698,0.048239,1.122715,0.416453
MAGNUM,Success,0.005239686001004884,0.0067975029996887315,0.0004488459999265615,0.025854481998976553,0.03849228599938215,2007-09-20 00:00:00,2025-03-06 00:00:00,3943 days 00:00:00,100000.0,116743.632796,16.743633,-40.539133,100.0,1312.688851,51.215226,1955 days 00:00:00,8,8,0,0.0,37.5,53.440799,-19.434753,43.014464,-16.685517,14 days 16:00:00,14 days 19:12:00,1.228851,2092.954099,0.168536,0.028183,1.148213,0.313739
NMDC,Success,0.0047365519967570435,0.006261644000915112,0.0004820319991267752,0.026238189999276074,0.03786833399863099,2008-03-03 00:00:00,2025-03-06 00:00:00,4201 days 00:00:00,100000.0,155112.245436,55.112245,-29.035278,100.0,2756.015168,34.293544,1732 days 00:00:00,9,9,0,0.0,33.333333,48.839028,-11.039873,36.902463,-7.924056,144 days 00:00:00,41 days 04:00:00,1.713231,6123.582826,0.311152,0.113365,1.125394,0.522119
SPECIALITY,Success,0.0031580449976900127,0.0059117060009157285,0.0005491330011864193,0.02664045599885867,0.03644178399918019,2012-06-13 00:00:00,2025-03-07 00:00:00,3150 days 00:00:00,100000.0,113941.741189,13.941741,-40.091809,100.0,1132.869224,25.766533,1397 days 00:00:00,5,5,0,0.0,40.0,33.551445,-13.218345,28.302864,-11.479377,84 days 00:00:00,8 days 08:00:00,1.336557,2788.348238,0.176407,0.05914,1.112104,0.294043
