symbol,status,load_time_s,indicator_calc_time_s,signal_gen_time_s,portfolio_sim_time_s,total_symbol_time_s,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
CLSEL,Success,0.00296269999944343,0.008238499999606574,0.0004996999996365048,0.029305499999281892,0.04142269999920245,2021-05-12 09:15:00,2025-06-26 09:15:00,1025 days 00:00:00,100000.0,84848.821778,-15.151178,169.883268,100.0,763.681626,33.414394,334 days 00:00:00,4.0,4.0,0.0,0.0,25.0,26.440541,-14.917924,26.440541,-12.434538,75 days 00:00:00,60 days 08:00:00,0.597352,-3787.794555,-0.12185,-0.17007,0.963625,-0.18847
CMSINFO,Success,0.0027194000003873953,0.008542499999748543,0.00046829999973851955,0.0328655000002982,0.04479380000066158,2021-12-31 09:15:00,2025-06-26 09:15:00,865 days 00:00:00,100000.0,113418.112052,13.418112,106.633081,100.0,457.482415,15.831478,177 days 00:00:00,2.0,2.0,0.0,0.0,50.0,22.047239,-7.060597,22.047239,-7.060597,184 days 00:00:00,32 days 00:00:00,2.558958,6709.056026,0.389651,0.344673,1.120868,0.536803
COALINDIA,Success,0.008322399999997288,0.008734699999877193,0.0006129000003056717,0.03172480000012001,0.049595799999224255,2010-11-04 09:15:00,2025-06-26 09:15:00,3621 days 00:00:00,100000.0,178373.589529,78.37359,15.063498,100.0,2807.997013,20.64054,2512 days 00:00:00,13.0,13.0,0.0,0.0,46.153846,23.895857,-8.002306,18.507007,-6.029146,48 days 08:00:00,14 days 20:34:17,2.868436,6028.737656,0.57977,0.291027,1.286407,0.986121
COASTCORP,Success,0.0029971000003570225,0.008104999999886786,0.0004883999999947264,0.029553299999861338,0.04134960000010324,2021-10-08 09:15:00,2025-06-26 09:15:00,922 days 00:00:00,100000.0,63533.29589,-36.466704,-32.09881,100.0,470.735756,43.825913,799 days 00:00:00,3.0,3.0,0.0,0.0,0.0,-11.670528,-18.454081,,-13.987649,,30 days 00:00:00,0.0,-12155.568037,-0.778098,-0.375059,0.707823,-1.071391
COCHINSHIP,Success,0.004516700000749552,0.00893290000021807,0.0005313999999998487,0.029857300000003306,0.044035900000380934,2017-08-11 09:15:00,2025-06-26 09:15:00,1950 days 00:00:00,100000.0,165769.06684,65.769067,691.896212,100.0,707.332795,12.664481,1477 days 00:00:00,3.0,3.0,0.0,0.0,66.666667,32.206055,-4.925912,32.073296,-4.925912,19 days 00:00:00,23 days 00:00:00,14.365005,21923.02228,0.974728,0.78349,2.69016,3.1126
COFFEEDAY,Success,0.00448699999924429,0.008009799999854295,0.0006465999995270977,0.031114399999751186,0.04445150000083231,2015-11-02 09:15:00,2025-06-26 09:15:00,2053 days 00:00:00,100000.0,132864.275791,32.864276,-86.071363,100.0,232.897373,9.460838,21 days 00:00:00,1.0,1.0,0.0,0.0,100.0,32.89714,32.89714,32.89714,,36 days 00:00:00,,inf,32864.275791,0.599311,0.54771,2.541691,2.214828
COFORGE,Success,0.008854500000779808,0.008220100000471575,0.0006691999997201492,0.12853670000004058,0.14649129999997967,2004-08-30 09:15:00,2025-06-26 09:15:00,5149 days 00:00:00,100000.0,91897.703662,-8.102296,10814.587078,100.0,2686.810945,56.317829,4213 days 00:00:00,13.0,13.0,0.0,0.0,30.769231,31.98114,-13.708987,24.317403,-10.003628,39 days 06:00:00,30 days 18:40:00,0.917586,-623.253564,0.037936,-0.010604,1.018833,0.057994
COLPAL,Success,0.009165499999653548,0.008251100000052247,0.000692200000230514,0.03096659999937401,0.04929589999937889,2007-12-17 09:15:00,2025-06-26 09:15:00,4327 days 00:00:00,100000.0,192152.787195,92.152787,1124.272063,100.0,5152.55648,17.001485,1823 days 00:00:00,15.0,15.0,0.0,0.0,46.666667,27.599484,-11.058025,17.681643,-5.815818,60 days 06:51:25,20 days 21:00:00,2.122177,6143.519146,0.604452,0.333143,1.261524,0.995907
COMPUSOFT,Success,0.007773100000122213,0.009223600000041188,0.0005840000003445311,0.03082520000043587,0.048599900000226626,2012-03-02 09:15:00,2025-06-26 09:15:00,3292 days 00:00:00,100000.0,125462.602692,25.462603,70.230769,100.0,834.233021,34.731018,836 days 00:00:00,4.0,4.0,0.0,0.0,50.0,41.792801,-16.047366,33.379437,-15.848708,42 days 12:00:00,19 days 12:00:00,1.731555,6365.650673,0.251225,0.073334,1.20551,0.394524
COMSYN,Success,0.0022735000002285233,0.008059900000262132,0.00044489999982033623,0.02923370000007708,0.04020049999962794,2024-01-23 09:15:00,2025-06-26 09:15:00,353 days 00:00:00,100000.0,100000.0,0.0,61.570254,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,inf,,inf,inf
CONCOR,Success,0.010095999999975902,0.007941400000163412,0.0007109999996828265,0.030946400000175345,0.04990280000038183,1999-01-05 09:15:00,2025-06-26 09:15:00,6203 days 00:00:00,100000.0,99212.663354,-0.787337,2974.169408,100.0,5566.170861,65.980711,5234 days 00:00:00,21.0,21.0,0.0,0.0,28.571429,30.671591,-16.357168,24.486486,-8.341535,44 days 00:00:00,33 days 09:36:00,0.99576,-37.492221,0.068418,-0.000705,1.030142,0.096966
CONCORDBIO,Success,0.0023506999996243394,0.007211500000266824,0.00047790000007807976,0.02918539999973291,0.03942349999942962,2023-08-18 09:15:00,2025-06-26 09:15:00,461 days 00:00:00,100000.0,101824.292936,1.824293,90.77217,100.0,610.83939,22.746567,92 days 00:00:00,3.0,3.0,0.0,0.0,33.333333,24.28953,-10.152109,24.28953,-9.485719,24 days 00:00:00,12 days 00:00:00,1.089853,608.097645,0.175276,0.06338,1.080267,0.223166
CONFIPET,Success,0.004132999999455933,0.007896300000538758,0.000495000000228174,0.0295310999999856,0.04224419999991369,2019-06-13 09:15:00,2025-06-26 09:15:00,1498 days 00:00:00,100000.0,112698.107802,12.698108,40.583749,100.0,999.868508,25.315103,624 days 00:00:00,5.0,5.0,0.0,0.0,40.0,30.572601,-12.80146,27.137878,-11.29765,13 days 12:00:00,29 days 16:00:00,1.357542,2539.62156,0.249121,0.116752,1.144867,0.440059
