symbol,status,load_time_s,indicator_calc_time_s,signal_gen_time_s,portfolio_sim_time_s,total_symbol_time_s,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
ASTRAMICRO,Success,0.0046608960001321975,0.00019938699915655889,0.0007159739980124868,0.33913997700074106,0.4839711350032303,2004-11-01 00:00:00,2025-03-06 00:00:00,7430 days 00:00:00,100000.0,36941.360509,-63.058639,2234.194973,100.0,795.748294,75.752154,7430 days 00:00:00,17,17,0,0.0,17.647059,26.237689,-17.471163,23.434726,-10.687856,26 days 08:00:00,57 days 06:51:25,0.267723,-3709.331735,-0.273201,-0.064232,0.871626,-0.151815
INDUSTOWER,Success,0.004299037002056139,0.00017036999997799285,0.0006113999988883734,3.406699761399068e-05,0.006817454999691108,2012-12-28 00:00:00,2025-03-06 00:00:00,4451 days 00:00:00,100000.0,218225.000829,118.225001,72.423698,100.0,1122.880524,21.84398,1218 days 00:00:00,7,7,0,0.0,71.428571,29.680333,-9.573172,21.843585,-9.081817,31 days 19:12:00,87 days 00:00:00,4.874221,16889.285833,0.686856,0.308542,1.52684,0.293954
V2RETAIL,Success,0.0022685149997414555,0.0001159249986812938,0.000672910002322169,2.5889999960782006e-05,0.004694852003012784,2012-02-24 00:00:00,2025-03-06 00:00:00,4759 days 00:00:00,100000.0,37750.723564,-62.249276,9770.118343,100.0,349.022111,62.249276,4759 days 00:00:00,6,6,0,0.0,0.0,-10.209739,-26.379863,0.0,-14.620255,0 days 00:00:00,50 days 12:00:00,0.0,-10374.879406,-0.4259,-0.118311,0.752273,-0.180046
MAHLIFE,Success,0.0038536149986612145,0.0001400360015395563,0.0005990350000502076,3.560099867172539e-05,0.006482112999947276,2007-11-23 00:00:00,2025-03-06 00:00:00,6313 days 00:00:00,100000.0,135986.010755,35.986011,64.39531,100.0,1370.811609,27.181646,3488 days 00:00:00,10,10,0,0.0,30.0,49.465393,-9.663359,37.42779,-8.437191,83 days 16:00:00,38 days 17:08:34,1.414801,3598.601076,0.216383,0.067347,1.150252,0.124635
PCBL,Success,0.006682934999844292,0.00039104399911593646,0.0011060689976147842,6.835999738541432e-05,0.011752430000342429,1995-01-06 00:00:00,2025-03-06 00:00:00,11017 days 00:00:00,100000.0,93181.983637,-6.818016,4575.757576,100.0,1197.394522,67.539177,9478 days 00:00:00,15,15,0,0.0,33.333333,40.99701,-19.350062,32.851419,-13.479253,79 days 19:11:59,22 days 16:47:59,0.942913,-454.534424,0.044739,-0.003814,1.03443,0.015721
RAJSREESUG,Success,0.006997807002335321,0.0003052809988730587,0.0008513940010743681,4.438600080902688e-05,0.01007890799883171,1999-01-01 00:00:00,2025-03-06 00:00:00,9561 days 00:00:00,100000.0,66043.460787,-33.956539,431.625,100.0,2263.975734,75.005823,7391 days 00:00:00,16,16,0,0.0,18.75,84.652151,-19.892295,64.199184,-13.092681,146 days 16:00:00,40 days 18:27:41,0.865763,-2122.283701,0.005009,-0.021702,1.002843,0.002542
LYKALABS,Success,0.0038752340005885344,0.00021624000146402977,0.0005826710003020708,3.002700032084249e-05,0.006534887001180323,1999-01-01 00:00:00,2025-03-06 00:00:00,9561 days 00:00:00,100000.0,653680.036533,553.680037,445.804878,100.0,9305.27984,45.77266,2127 days 00:00:00,17,17,0,0.0,47.058824,71.232584,-24.496878,51.833624,-14.295906,78 days 00:00:00,36 days 10:40:00,1.707057,32569.413914,0.467499,0.17485,1.276997,0.321393
MAGNUM,Success,0.003034552002645796,0.000131128999782959,0.0005838220022269525,3.865499820676632e-05,0.005506369001523126,2007-09-20 00:00:00,2025-03-06 00:00:00,6377 days 00:00:00,100000.0,115776.391069,15.776391,-40.539133,100.0,673.043838,51.339099,2968 days 00:00:00,8,8,0,0.0,37.5,47.663141,-19.318134,40.983567,-15.87421,20 days 08:00:00,8 days 19:12:00,1.221349,1972.048884,0.13687,0.018322,1.182209,0.045677
NMDC,Success,0.0035332700026629027,0.0001374220009893179,0.0006015910003043246,3.9687001844868064e-05,0.00641931499922066,2008-03-03 00:00:00,2025-03-06 00:00:00,6212 days 00:00:00,100000.0,68024.029753,-31.97597,-29.035278,100.0,743.108063,51.368259,5711 days 00:00:00,10,10,0,0.0,20.0,26.394783,-15.943141,22.384348,-9.100829,79 days 12:00:00,79 days 15:00:00,0.475228,-3197.597025,-0.150538,-0.044479,0.931259,-0.082503
SPECIALITY,Success,0.003896558002452366,0.00013738200141233392,0.0006187530016177334,3.822100188699551e-05,0.006443530000979081,2012-06-13 00:00:00,2025-03-07 00:00:00,4650 days 00:00:00,100000.0,114647.307438,14.647307,-40.091809,100.0,574.096931,24.677934,2988 days 00:00:00,5,5,0,0.0,40.0,33.005992,-12.523695,27.999859,-10.864096,121 days 12:00:00,10 days 00:00:00,1.368164,2929.461488,0.151198,0.044555,1.116341,0.070167
